valid_website,
http://diedorpshuis.co.za/,diedorpshuis.co.za
http://diehut.co.za/,diehut.co.za
http://diekaiaresort.co.za/,diekaiaresort.co.za
http://dieselandcreme.co.za/,dieselandcreme.co.za
http://diesuidooster.co.za/,diesuidooster.co.za
http://disalodge.co.za/,disalodge.co.za
http://dolphinwhisper.co.za/,dolphinwhisper.co.za
http://domaineducap.co.za/,domaineducap.co.za
http://domeinn.co.za/,domeinn.co.za
http://doornkopresort.co.za/,doornkopresort.co.za
http://doubletree3.hilton.com/en/hotels/florida/doubletree-suites-by-hilton-hotel-melbourne-beach-oceanfront-MLBBODT/index.html,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/illinois/doubletree-by-hilton-hotel-chicago-ohare-airport-rosemont-CHIDTDT/index.html,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/illinois/doubletree-by-hilton-hotel-chicago-wood-dale-elk-grove-CHIWDDT/index.html,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/netherlands/doubletree-by-hilton-amsterdam-centraal-station-AMSCSDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6AMSCSDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/netherlands/doubletree-by-hilton-hotel-amsterdam-ndsm-wharf-AMSADDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6AMSADDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/south-africa/doubletree-by-hilton-hotel-cape-town-upper-eastside-CPTUEDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6CPTUEDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-and-spa-liverpool-LPLDLDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6LPLDLDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-at-the-ricoh-arena-coventry-CVTRADI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6CVTRADI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-coventry-CVTHNDI/index.html?WT.mc_id=zKREC0GB1DT2NaturalSearch3Google_LGHotelListing4DGGeneric_Nov5LocalSearch6CVTHNDI7EN8i2,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-edinburgh-city-centre-EDICCDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6EDICCDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-glasgow-central-GLAGWDI/index.html?WT.mc_id=zLMDA0GB1DT2DMH3Display4DGGeneric_Jun5LocalSearch6GLAGWDI7EN8i1,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-leeds-city-centre-LBACCDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6LBACCDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-heathrow-airport-LHRCLDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6LHRCLDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-nottingham-gateway-EMANUDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6EMANUDI,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-southampton-SOUHNDI/index.html?WT.mc_id=zKREC0GB1DT2NaturalSearch3Google_LGHotelListing4DGGeneric_Dec5LocalSearch6SOUHNDI7EN8i1,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-london-greenwich-LONGWDI/index.html?WT.mc_id=zKREC0GB1DT2NaturalSearch3Google_LGHotelListing4DGGeneric_Feb5LocalSearch6LONGWDI7RU8i1,doubletree3.hilton.com
http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-reading-m4-j10-LHRREDI/index.html?WT.mc_id=zVSEC0GB1DT2NaturalSearch3GoogleMyBusiness4luau-readingj40m10_Oct5luau6LHRREDI7EN8i1,doubletree3.hilton.com
http://dovetonhouse.co.za/contact/,dovetonhouse.co.za
http://draaiberg.weebly.com/,draaiberg.weebly.com
http://dragonandeagle.co.za/contact-and-location/,dragonandeagle.co.za
http://dreamersguesthouse.co.za/,dreamersguesthouse.co.za
http://dublinsabie.co.za/,dublinsabie.co.za
http://duklooflodge.co.za/,duklooflodge.co.za
http://dunerose.co.za/,dunerose.co.za
http://dunkeldmanor.co.za/,dunkeldmanor.co.za
http://dunnscastle.com/,dunnscastle.com
http://dunranchhouse.co.za/,dunranchhouse.co.za
http://durban.royalhotel.xyz/,durban.royalhotel.xyz
http://dusk2dawn.co.za/,dusk2dawn.co.za
http://dwarswegstrand.co.za/,dwarswegstrand.co.za
http://dwerguiltjie.co.za/,dwerguiltjie.co.za
http://dynastyjamaicahotel.com/,dynastyjamaicahotel.com
http://dzongaroyal.co.za/,dzongaroyal.co.za
http://eaglesnestbandb.co.za/,eaglesnestbandb.co.za
http://eastaytonlodgehotel.com/,eastaytonlodgehotel.com
http://ecoedenbushlodge.co.za/,ecoedenbushlodge.co.za
http://ecoparklodge.za-southafrica.com/,ecoparklodge.za-southafrica.com
http://edennook.co.za/,edennook.co.za
http://edenpark.co.za,edenpark.co.za
http://edenplaceaccommodation.southafricahotels.website/,edenplaceaccommodation.southafricahotels.website
http://edenwilds.co.za/,edenwilds.co.za
http://eduzani.co.za/,eduzani.co.za
http://eendag.co.za/,eendag.co.za
http://eendracht-hotel.com/,eendracht-hotel.com
http://ekuthulenihouse.co.za/,ekuthulenihouse.co.za
http://elandsrus.co.za/,elandsrus.co.za
http://elephantleisureresort.co.za/,elephantleisureresort.co.za
http://elephantsfootprint.co.za/,elephantsfootprint.co.za
http://elgincountrylodge.co.za/,elgincountrylodge.co.za
http://elindalehouse.com.au/,elindalehouse.com.au
http://ellenichaaccommodation.co.za/,ellenichaaccommodation.co.za
http://ellysdarlingbedbreakfast.co.za/,ellysdarlingbedbreakfast.co.za
http://elohimsplace.co.za/,elohimsplace.co.za
http://elsajjacobs.wixsite.com/suikerbekkie/contact,elsajjacobs.wixsite.com
http://endlessvineyards.co.za/,endlessvineyards.co.za
http://engelzand.com/,engelzand.com
